hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
"""Bike & Bed"" CharinCo Hostel",Osaka,3300,2.9,9.2,Superb,8.9,9.4,9.3,8.9,9,9.4,9.4,135.5137671,34.682678
& And Hostel,Fukuoka-City,2600,0.7,9.5,Superb,9.4,9.7,9.5,9.7,9.2,9.7,9.5,130.4085353,33.59383334
&And Hostel Akihabara,Tokyo,3600,7.8,8.7,Fabulous,8,7,9,8,10,10,9,139.7774724,35.6974473
&And Hostel Ueno,Tokyo,2600,8.7,7.4,Very Good,8,7.5,7.5,7.5,7,8,6.5,139.783667,35.712716
&And Hostel-Asakusa North-,Tokyo,1500,10.5,9.4,Superb,9.5,9.5,9,9,9.5,10,9.5,139.7983712,35.7278979
1night1980hostel Tokyo,Tokyo,2100,9.4,7,Very Good,5.5,8,6,6,8.5,8.5,6.5,139.7869499,35.724384
328 Hostel & Lounge,Tokyo,3300,16.5,9.3,Superb,8.7,9.7,9.3,9.1,9.3,9.7,8.9,139.7454672,35.5480439
36Hostel,Hiroshima,2000,1.6,9.5,Superb,8.8,9.9,9.2,9.6,9.8,9.8,9.5,132.4483397,34.39813114
3Q House - Asakusa Smile,Tokyo,2500,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ace Inn Shinjuku,Tokyo,2200,3,7.7,Very Good,6.7,7.2,6.8,8.5,7.8,8.5,8.1,139.7243036,35.6925119
Air Osaka Hostel,Osaka,1600,9.7,9.2,Superb,9.5,9.1,8.7,8.8,8.9,9.8,9.5,135.4769556,34.6222596
Aizuya Inn,Tokyo,2000,10.6,8.5,Fabulous,8.1,8.3,8.4,7.8,8.9,9.1,8.9,139.800993,35.727547
Akihabara Hotel 3000,Tokyo,2200,8,10,Superb,10,10,10,10,10,10,10,139.779382,35.6974904
Almond hostel & cafe Shibuya,Tokyo,2900,2.2,9.3,Superb,9.1,9.5,8.8,9.5,9.4,9.7,9,139.6875352,35.6700092
Anne Hostel Asakusabashi,Tokyo,2000,8.9,9.1,Superb,8.8,9.2,8.7,9,9.1,9.5,9.2,139.7893595,35.6989448
Anne Hostel Yokozuna,Tokyo,1800,9.5,9.1,Superb,8.8,9.1,9,9.2,9.3,9.3,9.2,139.7967977,35.6954897
Ark Hostel,Osaka,2700,1.9,9,Superb,8.7,9.2,8.9,8.8,9.1,9.2,9,135.4954657,34.69078385
ARTnSHELTER,Tokyo,2400,10.5,8.3,Fabulous,8.2,8.1,7.7,7.9,9.1,9,8.3,139.742108,35.604242
