"HostelName","City","StartingPrice","Distance","RatingScore","RatingBand","Atmosphere","Cleanliness","Facilities","Location","Security","Staff","ValueForMoney","lon","lat","Station","Dist_Station","lat_station","lng_station"
"""Bike & Bed"" CharinCo Hostel","Osaka",3300,2.9,9.2,"Superb",8.9,9.4,9.3,8.9,9,9.4,9.4,135.5137671,34.682678,"Tanimachi Yonchome",0.324980126115165,34.6821069,135.5172527
"& And Hostel","Fukuoka-City",2600,0.7,9.5,"Superb",9.4,9.7,9.5,9.7,9.2,9.7,9.5,130.4085353,33.59383334,"Nakasu-Kawabata",0.227848809146881,33.5945858,130.4062472
"&And Hostel Akihabara","Tokyo",3600,7.8,8.7,"Fabulous",8,7,9,8,10,10,9,139.7774724,35.6974473,"Akihabara",0.41006159225631,35.69855685,139.7731418
"&And Hostel Ueno","Tokyo",2600,8.7,7.4,"Very Good",8,7.5,7.5,7.5,7,8,6.5,139.783667,35.712716,"Inaricho",0.170318921250364,35.71141397,139.7826734
"&And Hostel-Asakusa North-","Tokyo",1500,10.5,9.4,"Superb",9.5,9.5,9,9,9.5,10,9.5,139.7983712,35.7278979,"Minami-senju",0.497011005602321,35.7323539,139.7988024
"1night1980hostel Tokyo","Tokyo",2100,9.4,7,"Very Good",5.5,8,6,6,8.5,8.5,6.5,139.7869499,35.724384,"Iriya",0.341543698797562,35.7215633,139.7854523
"328 Hostel & Lounge","Tokyo",3300,16.5,9.3,"Superb",8.7,9.7,9.3,9.1,9.3,9.7,8.9,139.7454672,35.5480439,"Suehirocho",3.01991122382276,35.5302804,139.7707142
"36Hostel","Hiroshima",2000,1.6,9.5,"Superb",8.8,9.9,9.2,9.6,9.8,9.8,9.5,132.4483397,34.39813114,"Kencho-mae",0.91368789921731,34.3963499,132.4580612
"Ace Inn Shinjuku","Tokyo",2200,3,7.7,"Very Good",6.7,7.2,6.8,8.5,7.8,8.5,8.1,139.7243036,35.6925119,"Yotsuya-sanchome",0.648037152302359,35.6877469,139.7201721
"Air Osaka Hostel","Osaka",1600,9.7,9.2,"Superb",9.5,9.1,8.7,8.8,8.9,9.8,9.5,135.4769556,34.6222596,"Kitakagaya",0.209973381054311,34.6214001,135.4789988
"Aizuya Inn","Tokyo",2000,10.6,8.5,"Fabulous",8.1,8.3,8.4,7.8,8.9,9.1,8.9,139.800993,35.727547,"Minami-senju",0.569905984016244,35.7323539,139.7988024
"Akihabara Hotel 3000","Tokyo",2200,8,10,"Superb",10,10,10,10,10,10,10,139.779382,35.6974904,"Akihabara",0.57584362095013,35.69855685,139.7731418
"Almond hostel & cafe Shibuya","Tokyo",2900,2.2,9.3,"Superb",9.1,9.5,8.8,9.5,9.4,9.7,9,139.6875352,35.6700092,"Yoyogi-uehara",0.715271807304943,35.6691681,139.6796851
"Anne Hostel Asakusabashi","Tokyo",2000,8.9,9.1,"Superb",8.8,9.2,8.7,9,9.1,9.5,9.2,139.7893595,35.6989448,"Tawaramachi",1.21843269661773,35.709842,139.7907747
"Anne Hostel Yokozuna","Tokyo",1800,9.5,9.1,"Superb",8.8,9.1,9,9.2,9.3,9.3,9.2,139.7967977,35.6954897,"Kiyosumi-shirakawa",1.50559758029815,35.6820467,139.7987913
"Ark Hostel","Osaka",2700,1.9,9,"Superb",8.7,9.2,8.9,8.8,9.1,9.2,9,135.4954657,34.69078385,"Higobashi",0.094846780560899,34.691077,135.4964399
"ARTnSHELTER","Tokyo",2400,10.5,8.3,"Fabulous",8.2,8.1,7.7,7.9,9.1,9,8.3,139.742108,35.604242,"Shirokanedai",4.02048165709943,35.6381169,139.7265558
"AS House (Asakusa Smile)","Tokyo",1600,10,7.8,"Very Good",7.9,6.2,7,9,8.2,8,8.3,139.800616,35.707363,"Asakusa",0.462670535759634,35.71085336,139.7978265
"Asakusa Hostel Toukaisou","Tokyo",1300,9.3,8.9,"Fabulous",7.9,9.4,8.3,9.5,9.2,8.9,9.2,139.79081,35.713177,"Tawaramachi",0.37084877581589,35.709842,139.7907747
"Asakusa Ryokan Toukaisou","Tokyo",3600,9.3,8.7,"Fabulous",8,8.4,8.4,8.8,8.8,9.4,8.8,139.79081,35.713177,"Tawaramachi",0.37084877581589,35.709842,139.7907747
"Asakusahotel Wasou","Tokyo",2000,9.9,9.4,"Superb",8.7,9.3,9,9.7,10,10,9.3,139.7966971,35.7118769,"Asakusa",0.152810712450659,35.71085336,139.7978265
"Astro Station","Tokyo",3500,3.8,8.4,"Fabulous",7.1,9.1,8,9.7,7.1,8.6,8.9,139.7036929,35.7143962,"Takadanobaba",0.123676061972666,35.7134826,139.7044742
"B&S Eco Cube Shinsaibashi","Osaka",2600,4,8.6,"Fabulous",7.5,9,8,8.5,10,8,9,135.4991771,34.6707458,"Yotsubashi",0.438446584340327,34.6741351,135.496727
"Backpackers Hostel K's House Hiroshima","Hiroshima",2600,1.9,9.4,"Superb",9,9.5,9.2,9.4,9.5,9.7,9.3,132.473831,34.392506,"Kencho-mae",1.50875987122884,34.3963499,132.4580612
"Backpackers Hostel K's House Kyoto","Kyoto",1800,2.4,9.2,"Superb",9,9.3,9.2,9.1,9.5,9.4,9.1,135.764916,34.989791,"Kyoto",0.668345342987944,34.9861885,135.7590433
"Backpackers Hostel K's House Tokyo","Tokyo",2100,9.2,9.2,"Superb",9.1,9.3,9,8.6,9.5,9.6,9,139.792253,35.705066,"Tawaramachi",0.547584089340638,35.709842,139.7907747
"Backpackers Hotel Toyo Osaka","Osaka",1500,6.5,8.8,"Fabulous",8.1,8.2,8.5,8.9,9.3,9.3,9.3,135.5041024,34.6483651,"Dobutsuen-mae",0.0823342082600344,34.6489686,135.5035809
"Backstage Osaka Hostel & Bar","Osaka",2200,4.5,8.8,"Fabulous",8.8,8.2,8.1,9.5,8.6,9.3,9.2,135.513299,34.6670083,"Tanimachi Kyuchome",0.245611386598742,34.666639,135.5159468
"Beagle Tokyo Hostel & Apartments","Tokyo",3800,16.1,9,"Superb",8,10,9,8,9,9,10,139.7410778,35.5504924,"Suehirocho",3.49879639051553,35.5302804,139.7707142
"Bed Stock","Fukuoka-City",2500,1.1,8.9,"Fabulous",8.6,9.9,8.1,9.4,8.9,9,8.6,130.3900005,33.58869512,"Akasaka",0.0716905853813679,33.5890681,130.3906318
"Beehive Hostel Osaka","Osaka",2900,3.4,9.1,"Superb",8.8,9.2,8.7,8.8,9.5,9.7,9.2,135.508387,34.676892,"Nagahoribashi",0.329337184323342,34.6744602,135.5063311
"Bigtree Guesthouse","Osaka",2900,36.6,9.6,"Superb",9.3,9.8,9.3,9.1,10,10,9.3,135.3233376,34.4119443,"Nakamozu",23.147235369883,34.5561152,135.5055107
"Bird Hostel","Kyoto",2700,1.1,9.3,"Superb",8.9,9.5,9.5,9.4,9.2,9.5,9.4,135.7587254,35.0175416,"Marutamachi",0.119717044027519,35.016855,135.759738
"bnb+ Ninja Dojo Ueno","Tokyo",2500,8,5.2,"Rating",4,3.3,4,8.7,5.3,4.7,6.7,139.7277038,35.73285211,"Shin-otsuka",0.811256971369992,35.7257823,139.7299234
"bnb+Shinjuku Castle","Tokyo",2500,1.3,5,"Rating",2.7,4,3.3,7.3,5.3,5.3,6.7,139.7051632,35.69714117,"Higashi-shinjuku",0.306342773372458,35.6989445,139.7077279
"Bonfire Hostel Osaka","Osaka",1800,9.5,9.2,"Superb",7.6,9.6,10,8,9.6,10,9.6,135.506891,34.621308,"Nishitanabe",0.755454722806447,34.6216124,135.5151386
"Bonsai Guest House","Osaka",1800,5.9,8.7,"Fabulous",7.5,9.1,8.4,9.5,8.9,8.9,8.8,135.5281825,34.65863761,"Tsuruhashi",0.760311947833076,34.6652458,135.530318
"Book and Bed Tokyo - Kyoto","Kyoto",3800,0.9,9.1,"Superb",9,10,8.5,9.5,8.5,10,8,135.7727965,35.0041178,"Hyotan-yama",0.37086986079761,35.0037565,135.7687486
"Book And Bed Tokyo Asakusa","Tokyo",4100,9.6,9.1,"Superb",8.7,9.7,8.6,9.4,9.5,9.3,8.6,139.7949806,35.7107965,"Asakusa",0.257026423631165,35.71085336,139.7978265
"Book And Bed Tokyo Fukuoka","Fukuoka-City",4300,0.3,8.6,"Fabulous",8,10,6,10,8,10,8,130.3979662,33.5909933,"Tenjin",0.0958987507512983,33.5914006,130.3988788
"Book And Bed Tokyo Ikebukuro","Tokyo",4100,4.9,8.2,"Fabulous",8.9,8,8,9.1,7.7,8.6,7.4,139.7085388,35.7310808,"Ikebukuro",0.0202262455193545,35.7312289,139.7084087
"Bunka Hostel Tokyo","Tokyo",2200,9.5,9.3,"Superb",8.8,9.3,9.3,9.5,9.4,9.8,9.2,139.79322,35.712108,"Tawaramachi",0.335009180752633,35.709842,139.7907747
"Capsule Hotel Asahi Plaza Shinsaibashi","Osaka",3000,4,9.9,"Superb",10,10,10,10,10,10,9,135.497847,34.6707858,"Yotsubashi",0.386252345441179,34.6741351,135.496727
"Capsule Inn Kinshichou","Tokyo",2600,10.9,8.6,"Fabulous",6,10,8,8,10,8,10,139.81198,35.6981223,"Kinshicho",0.309944863962649,35.6975284,139.8153335
"Capsule Resort Kyoto Square","Kyoto",3100,1.3,9.6,"Superb",9.1,10,9.6,10,9.8,9.8,9.1,135.7535562,35.0112333,"Karasuma Oike",0.568277290065371,35.009992,135.7596091
"Capsule Value Kanda","Tokyo",3000,7.1,8.6,"Fabulous",8,8.7,7.3,9.3,8.7,9.3,8.7,139.7707637,35.6895954,"Otemachi",0.437760529397165,35.6876162,139.7665736
"Casa Macondo","Osaka",3000,5,6.9,"Good",6.5,6.5,7.5,7,7,6.5,7,135.4893801,34.6633342,"Sakuragawa",0.57529939733979,34.6684262,135.488266
