City,Station,lon,lat
Fukuoka,Akasaka,130.3906318,33.5890681
Fukuoka,Befu,130.3695634,33.5740967
Fukuoka,Chayama,130.3655236,33.5662369
Fukuoka,Chiyo-Kenchoguchi,130.4145758,33.6028022
Fukuoka,Fujisaki,130.3477305,33.5813429
Fukuoka,Fukudaimae,130.3622196,33.547478
Fukuoka,Fukuokakuko (Airport),130.4482244,33.597226
Fukuoka,Gion,130.4145184,33.5940958
Fukuoka,Gofukumachi,130.4095442,33.5978937
Fukuoka,Hakata,130.4207274,33.5897275
Fukuoka,Hakozaki-Kyudai-mae,130.4211076,33.6223215
Fukuoka,Hakozaki-Miyamae,130.4194789,33.6160061
Fukuoka,Hashimoto,130.3210875,33.5549825
Fukuoka,Higashi-Hie,130.4312804,33.5897427
Fukuoka,Jiromaru,130.3299161,33.5524601
Fukuoka,Kaizuka,130.4256051,33.6320125
Fukuoka,Kamo,130.337466,33.5505264
Fukuoka,Kanayama,130.36175,33.559541
Fukuoka,Maidashi-Kyudai-byoin-mae,130.4194824,33.6093685
Fukuoka,Meinohama,130.3250732,33.5837481
Fukuoka,Muromi,130.3399921,33.5809624
Fukuoka,Nakasu-Kawabata,130.4062472,33.5945858
Fukuoka,Nanakuma,130.3617465,33.5527662
Fukuoka,Nishijin,130.3592058,33.5835205
Fukuoka,Noke,130.3474704,33.5479751
Fukuoka,Ohorikoen,130.3790364,33.5900966
Fukuoka,Ropponmatsu,130.3773678,33.5776898
Fukuoka,Sakurazaka,130.3869739,33.5772389
Fukuoka,Tenjin,130.3988788,33.5914006
Fukuoka,Tenjin-Minami,130.4023766,33.5885459
Fukuoka,Tojinmachi,130.3699948,33.5901232
Fukuoka,Umebayashi,130.3549841,33.5457616
Fukuoka,Watanabe-dori,130.4049918,33.5838745
Fukuoka,Yakuin,130.4021221,33.5817461
Fukuoka,Yakuin-odori,130.3965205,33.5805059
Hiroshima,Bishamondai,132.4628918,34.4693694
Hiroshima,Chorakuji,132.4309779,34.4729239
Hiroshima,Fudoin-mae,132.4688603,34.426578
Hiroshima,Furuichi,132.4752324,34.4577505
Hiroshima,Gion-shinbashi-kita,132.4707533,34.4352346
Hiroshima,Hakushima,132.462771,34.410989
Hiroshima,Hondori,132.4569995,34.3933943
Hiroshima,Johoku,132.4588951,34.4054915
Hiroshima,Kamiyasu,132.444921,34.475757
Hiroshima,Kencho-mae,132.4580612,34.3963499
Hiroshima,Koiki-koen-mae,132.4001697,34.4354518
Hiroshima,Nakasuji,132.4769189,34.4514828
Hiroshima,Nishihara,132.4747933,34.4433305
Hiroshima,Obara,132.412647,34.463147
Hiroshima,Omachi,132.470565,34.4616823
Hiroshima,Ozuka,132.402704,34.441344
Hiroshima,Shin-Hakushima,132.4611716,34.4084597
Hiroshima,Takatori,132.4381757,34.4751608
Hiroshima,Tomo,132.4192013,34.4698129
Hiroshima,Tomo-chuo,132.405203,34.4559808
